complaint_id,text,category,area,date,report_count,urgency_score,status
CMP0001,Road flooded after rain in Ward 1,Roads,Ward 1,2024-05-20,6,3.0,In Progress
CMP0002,Drain not cleaned for months in Ward 2,Drainage,Ward 2,2024-10-29,6,1.3,Pending
CMP0003,No water supply since 3 days in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-11-04,4,6.1,In Progress
CMP0004,Sewage mixing with drinking water in Old City,Drainage,Old City,2024-04-22,5,6.3,In Progress
CMP0005,Road cave-in near market in Ward 3,Roads,Ward 3,2024-12-23,4,4.1,Pending
CMP0006,Waste dumped near school in Ward 2,Garbage,Ward 2,2024-02-17,6,1.9,In Progress
CMP0007,Sewage mixing with drinking water in Sector 12,Drainage,Sector 12,2024-01-23,4,5.8,Resolved
CMP0008,Transformer burnt in colony in Ward 2,Electricity,Ward 2,2024-10-09,4,8.5,In Progress
CMP0009,Dustbin overflowing on street in Model Town,Garbage,Model Town,2024-04-08,9,1.4,Pending
CMP0010,Dustbin overflowing on street in Ward 2,Garbage,Ward 2,2024-04-29,3,4.4,Pending
CMP0011,Garbage truck has not visited in Ward 3,Garbage,Ward 3,2024-07-08,5,2.9,Pending
CMP0012,No street lights on highway in Model Town,Roads,Model Town,2024-11-21,5,5.8,Pending
CMP0013,Voltage fluctuation damaging appliances in Old City,Electricity,Old City,2024-05-18,6,7.2,In Progress
CMP0014,Divider damaged on road in Sector 5,Roads,Sector 5,2024-01-17,5,4.6,Pending
CMP0015,Sewage mixing with drinking water in Sector 7,Drainage,Sector 7,2024-04-18,10,4.6,Resolved
CMP0016,Street light not working at night in Ward 3,Electricity,Ward 3,2024-05-15,2,3.2,Pending
CMP0017,Waste dumped near school in Model Town,Garbage,Model Town,2024-08-07,5,4.3,Resolved
CMP0018,Dirty and muddy water from tap in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-09-09,4,7.8,Resolved
CMP0019,Contaminated water supply in Ward 3,Water Supply,Ward 3,2024-12-14,11,6.4,Pending
CMP0020,Drainage pipe broken and leaking in New Colony,Drainage,New Colony,2024-09-27,5,9.7,Resolved
CMP0021,Speed breaker needed urgently in Ward 2,Roads,Ward 2,2024-12-15,4,7.9,Pending
CMP0022,Stray animals spreading garbage in Old City,Garbage,Old City,2024-03-21,9,1.0,In Progress
CMP0023,Dustbin overflowing on street in Gandhi Nagar,Garbage,Gandhi Nagar,2024-04-01,4,8.8,Pending
CMP0024,Foul smell coming from open drain in Model Town,Drainage,Model Town,2024-04-11,6,4.4,Pending
CMP0025,Severe waterlogging after rain in Ward 1,Drainage,Ward 1,2024-11-02,8,5.4,Pending
CMP0026,Garbage not collected for a week in Sector 12,Garbage,Sector 12,2024-05-02,3,3.2,Pending
CMP0027,Road broken near school in Ward 2,Roads,Ward 2,2024-09-05,4,9.8,Pending
CMP0028,Water meter reading incorrect in Ward 3,Water Supply,Ward 3,2024-12-03,6,9.5,Pending
CMP0029,Open manhole posing danger in Model Town,Drainage,Model Town,2024-08-04,8,9.4,In Progress
CMP0030,Borewell pump not working in Sector 12,Water Supply,Sector 12,2024-07-23,10,4.9,Pending
CMP0031,Road broken near school in Sector 5,Roads,Sector 5,2024-04-25,4,4.0,Pending
CMP0032,No water supply since 3 days in Model Town,Water Supply,Model Town,2024-04-22,2,1.6,In Progress
CMP0033,Borewell pump not working in Ward 2,Water Supply,Ward 2,2024-01-17,6,1.6,Pending
CMP0034,Street light not working at night in Sector 5,Electricity,Sector 5,2024-10-03,7,7.5,Resolved
CMP0035,Sewage mixing with drinking water in New Colony,Drainage,New Colony,2024-05-04,9,8.3,Pending
CMP0036,Road cave-in near market in Old City,Roads,Old City,2024-06-30,3,4.7,Resolved
CMP0037,Road cave-in near market in Ward 2,Roads,Ward 2,2024-02-01,6,7.6,In Progress
CMP0038,Road flooded after rain in Sector 5,Roads,Sector 5,2024-04-08,9,5.8,Pending
CMP0039,Water pipe leakage on street in Sector 12,Water Supply,Sector 12,2024-08-24,7,8.9,Pending
CMP0040,Blocked drain causing street flooding in Ward 2,Drainage,Ward 2,2024-01-26,12,9.7,Resolved
CMP0041,Water meter reading incorrect in Ward 3,Water Supply,Ward 3,2024-07-27,8,5.3,Resolved
CMP0042,Potholes on main road in Ward 3,Roads,Ward 3,2024-07-13,4,9.9,Pending
CMP0043,No electricity in entire block in Sector 12,Electricity,Sector 12,2024-08-04,1,2.4,Pending
CMP0044,Potholes on main road in Model Town,Roads,Model Town,2024-10-04,6,7.7,Pending
CMP0045,Foul smell coming from open drain in New Colony,Drainage,New Colony,2024-09-14,2,1.5,Pending
CMP0046,Dirty and muddy water from tap in Ward 2,Water Supply,Ward 2,2024-10-31,9,7.1,Pending
CMP0047,Potholes on main road in Model Town,Roads,Model Town,2024-05-06,5,6.6,Pending
CMP0048,Severe waterlogging after rain in Model Town,Drainage,Model Town,2024-09-24,7,9.4,Pending
CMP0049,Waste dumped near school in Sector 5,Garbage,Sector 5,2024-05-15,6,2.2,In Progress
CMP0050,Power cut for more than 6 hours in Sector 7,Electricity,Sector 7,2024-02-07,2,5.1,Resolved
CMP0051,Road flooded after rain in Ward 2,Roads,Ward 2,2024-10-02,6,5.6,Pending
CMP0052,Garbage truck has not visited in Ward 2,Garbage,Ward 2,2024-05-05,5,3.6,Pending
CMP0053,Blocked drain causing street flooding in Sector 12,Drainage,Sector 12,2024-11-09,5,7.0,Pending
CMP0054,Road broken near school in Ward 3,Roads,Ward 3,2024-05-15,5,9.0,In Progress
CMP0055,Water pipe leakage on street in Sector 12,Water Supply,Sector 12,2024-05-24,8,7.5,Pending
CMP0056,Dead animals not removed from road in Gandhi Nagar,Garbage,Gandhi Nagar,2024-09-07,1,9.1,In Progress
CMP0057,Potholes on main road in Old City,Roads,Old City,2024-05-21,3,1.0,In Progress
CMP0058,Waste dumped near school in Ward 3,Garbage,Ward 3,2024-08-14,4,6.0,Pending
CMP0059,Borewell pump not working in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-01-19,11,6.2,Pending
CMP0060,Borewell pump not working in Ward 1,Water Supply,Ward 1,2024-06-06,9,9.1,In Progress
CMP0061,Road flooded after rain in Sector 7,Roads,Sector 7,2024-04-17,4,7.0,Pending
CMP0062,Foul smell coming from open drain in Old City,Drainage,Old City,2024-11-13,8,9.3,Pending
CMP0063,No water supply since 3 days in Ward 3,Water Supply,Ward 3,2024-07-30,7,2.6,Resolved
CMP0064,Street light not working at night in Sector 5,Electricity,Sector 5,2024-05-16,5,8.1,Pending
CMP0065,Road flooded after rain in New Colony,Roads,New Colony,2024-04-23,5,8.3,Pending
CMP0066,Garbage not collected for a week in Sector 5,Garbage,Sector 5,2024-04-24,5,6.9,Pending
CMP0067,Garbage truck has not visited in Ward 2,Garbage,Ward 2,2024-05-22,9,6.8,Pending
CMP0068,Sewage overflow on main road in Sector 7,Drainage,Sector 7,2024-01-15,3,8.9,Pending
CMP0069,Sewage overflow on main road in Sector 12,Drainage,Sector 12,2024-01-20,3,6.4,Pending
CMP0070,Dustbin overflowing on street in Old City,Garbage,Old City,2024-11-06,9,4.5,Pending
CMP0071,Waste dumped near school in Ward 1,Garbage,Ward 1,2024-12-28,5,1.0,Resolved
CMP0072,Drain not cleaned for months in Sector 5,Drainage,Sector 5,2024-07-05,9,1.6,In Progress
CMP0073,Dustbin overflowing on street in Model Town,Garbage,Model Town,2024-06-09,7,7.5,Pending
CMP0074,Waste dumped near school in Old City,Garbage,Old City,2024-06-16,7,7.3,Pending
CMP0075,Contaminated water supply in Old City,Water Supply,Old City,2024-12-06,11,7.1,Resolved
CMP0076,Drain not cleaned for months in Model Town,Drainage,Model Town,2024-06-03,4,5.9,Pending
CMP0077,Garbage truck has not visited in Sector 5,Garbage,Sector 5,2024-08-08,8,5.2,Pending
CMP0078,Very low water pressure in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-08-30,12,6.9,Pending
CMP0079,Open manhole posing danger in Sector 7,Drainage,Sector 7,2024-02-17,6,7.1,Pending
CMP0080,No water supply since 3 days in Ward 3,Water Supply,Ward 3,2024-01-13,8,3.2,Pending
CMP0081,Road flooded after rain in New Colony,Roads,New Colony,2024-07-31,5,7.5,Pending
CMP0082,Power cut for more than 6 hours in Sector 5,Electricity,Sector 5,2024-03-16,8,9.0,Resolved
CMP0083,No street lights on highway in Old City,Roads,Old City,2024-04-22,9,8.2,In Progress
CMP0084,Voltage fluctuation damaging appliances in Ward 1,Electricity,Ward 1,2024-10-12,4,9.3,Pending
CMP0085,Borewell pump not working in New Colony,Water Supply,New Colony,2024-12-07,3,9.6,Resolved
CMP0086,Sewage mixing with drinking water in Gandhi Nagar,Drainage,Gandhi Nagar,2024-08-06,6,9.1,In Progress
CMP0087,Voltage fluctuation damaging appliances in New Colony,Electricity,New Colony,2024-05-12,2,8.6,Pending
CMP0088,Open manhole posing danger in New Colony,Drainage,New Colony,2024-11-16,2,3.5,Pending
CMP0089,Garbage truck has not visited in Sector 5,Garbage,Sector 5,2024-05-19,5,3.9,Pending
CMP0090,Contaminated water supply in Ward 3,Water Supply,Ward 3,2024-04-28,5,7.2,In Progress
CMP0091,Divider damaged on road in Old City,Roads,Old City,2024-07-27,5,5.9,Pending
CMP0092,No water supply since 3 days in Old City,Water Supply,Old City,2024-07-18,5,8.7,In Progress
CMP0093,Electricity meter reading wrong in New Colony,Electricity,New Colony,2024-01-04,6,3.7,Pending
CMP0094,Voltage fluctuation damaging appliances in Gandhi Nagar,Electricity,Gandhi Nagar,2024-10-06,4,5.4,Pending
CMP0095,Electricity meter reading wrong in Ward 1,Electricity,Ward 1,2024-07-18,4,7.0,In Progress
CMP0096,No water supply since 3 days in New Colony,Water Supply,New Colony,2024-03-06,8,9.2,Pending
CMP0097,Road cave-in near market in Ward 2,Roads,Ward 2,2024-11-25,5,2.2,Pending
CMP0098,Divider damaged on road in Sector 12,Roads,Sector 12,2024-07-13,4,2.9,Pending
CMP0099,Transformer burnt in colony in Sector 12,Electricity,Sector 12,2024-08-03,3,8.5,Pending
CMP0100,Open manhole posing danger in Ward 1,Drainage,Ward 1,2024-06-28,6,6.9,In Progress
CMP0101,Road flooded after rain in Ward 1,Roads,Ward 1,2024-05-06,9,8.6,In Progress
CMP0102,Dirty and muddy water from tap in Ward 3,Water Supply,Ward 3,2024-08-30,6,6.1,Pending
CMP0103,Dustbin overflowing on street in Sector 7,Garbage,Sector 7,2024-03-26,4,8.0,Pending
CMP0104,Garbage not collected for a week in Ward 2,Garbage,Ward 2,2024-10-23,4,9.4,Pending
CMP0105,Sparking wire hanging on pole in Old City,Electricity,Old City,2024-04-11,6,6.3,In Progress
CMP0106,Water tanker not arriving in Ward 2,Water Supply,Ward 2,2024-12-22,10,8.7,In Progress
CMP0107,Divider damaged on road in Model Town,Roads,Model Town,2024-01-22,6,5.8,In Progress
CMP0108,Divider damaged on road in Gandhi Nagar,Roads,Gandhi Nagar,2024-11-27,6,1.1,Pending
CMP0109,Electricity meter reading wrong in Ward 2,Electricity,Ward 2,2024-08-09,8,6.7,In Progress
CMP0110,Water tanker not arriving in Old City,Water Supply,Old City,2024-03-31,8,6.5,Resolved
CMP0111,Transformer burnt in colony in New Colony,Electricity,New Colony,2024-08-11,7,3.9,Pending
CMP0112,Road flooded after rain in Sector 12,Roads,Sector 12,2024-08-18,5,7.8,Pending
CMP0113,No electricity in entire block in Sector 7,Electricity,Sector 7,2024-01-15,5,8.7,Pending
CMP0114,Borewell pump not working in Sector 7,Water Supply,Sector 7,2024-05-12,8,3.5,Pending
CMP0115,No dustbin provided in area in Gandhi Nagar,Garbage,Gandhi Nagar,2024-01-06,7,1.8,In Progress
CMP0116,No electricity in entire block in Gandhi Nagar,Electricity,Gandhi Nagar,2024-05-03,6,6.8,Pending
CMP0117,Road flooded after rain in Ward 2,Roads,Ward 2,2024-05-30,11,4.6,Pending
CMP0118,Severe waterlogging after rain in Sector 7,Drainage,Sector 7,2024-08-30,8,4.8,In Progress
CMP0119,Stray animals spreading garbage in Sector 7,Garbage,Sector 7,2024-12-25,2,3.4,Pending
CMP0120,Road broken near school in Sector 5,Roads,Sector 5,2024-06-10,8,7.7,Resolved
CMP0121,Water meter reading incorrect in Sector 5,Water Supply,Sector 5,2024-04-20,4,3.5,Pending
CMP0122,Sewage overflow on main road in Model Town,Drainage,Model Town,2024-05-24,4,8.5,Pending
CMP0123,Garbage not collected for a week in Ward 3,Garbage,Ward 3,2024-06-03,5,7.4,Pending
CMP0124,Speed breaker needed urgently in Ward 1,Roads,Ward 1,2024-10-10,7,7.3,Pending
CMP0125,Transformer burnt in colony in Ward 2,Electricity,Ward 2,2024-01-07,3,5.2,Pending
CMP0126,Water meter reading incorrect in Ward 1,Water Supply,Ward 1,2024-05-09,5,2.0,Pending
CMP0127,Power cut for more than 6 hours in Ward 2,Electricity,Ward 2,2024-10-22,6,2.4,In Progress
CMP0128,Dustbin overflowing on street in Ward 2,Garbage,Ward 2,2024-05-07,3,6.0,Pending
CMP0129,Drain not cleaned for months in Model Town,Drainage,Model Town,2024-04-25,4,5.1,Pending
CMP0130,Blocked drain causing street flooding in Old City,Drainage,Old City,2024-06-05,2,6.5,In Progress
CMP0131,Dirty and muddy water from tap in Sector 5,Water Supply,Sector 5,2024-05-15,4,2.4,Pending
CMP0132,Road cave-in near market in Ward 3,Roads,Ward 3,2024-01-02,7,5.1,Pending
CMP0133,Dead animals not removed from road in Ward 1,Garbage,Ward 1,2024-04-28,2,7.4,In Progress
CMP0134,Voltage fluctuation damaging appliances in Ward 2,Electricity,Ward 2,2024-12-17,2,9.3,In Progress
CMP0135,Sewage overflow on main road in Sector 5,Drainage,Sector 5,2024-08-05,8,5.9,In Progress
CMP0136,Garbage not collected for a week in Ward 3,Garbage,Ward 3,2024-02-06,7,2.5,Pending
CMP0137,Sewage overflow on main road in Sector 12,Drainage,Sector 12,2024-08-12,6,5.2,Pending
CMP0138,No electricity in entire block in Sector 12,Electricity,Sector 12,2024-09-13,7,4.9,Pending
CMP0139,Transformer burnt in colony in Sector 7,Electricity,Sector 7,2024-11-05,3,1.2,Pending
CMP0140,Drainage pipe broken and leaking in Model Town,Drainage,Model Town,2024-01-11,6,6.2,In Progress
CMP0141,Water meter reading incorrect in New Colony,Water Supply,New Colony,2024-09-22,8,9.2,Pending
CMP0142,Sewage mixing with drinking water in Old City,Drainage,Old City,2024-11-21,3,9.7,Pending
CMP0143,Sparking wire hanging on pole in Sector 7,Electricity,Sector 7,2024-06-13,5,8.7,Pending
CMP0144,Exposed live wire near playground in Sector 12,Electricity,Sector 12,2024-12-05,8,8.3,Pending
CMP0145,Transformer burnt in colony in Ward 2,Electricity,Ward 2,2024-06-10,3,3.9,Resolved
CMP0146,No electricity in entire block in Gandhi Nagar,Electricity,Gandhi Nagar,2024-01-01,5,4.7,Pending
CMP0147,Stray animals spreading garbage in Model Town,Garbage,Model Town,2024-09-12,9,7.8,Pending
CMP0148,Sewage mixing with drinking water in Ward 3,Drainage,Ward 3,2024-05-27,5,8.9,Pending
CMP0149,No street lights on highway in Model Town,Roads,Model Town,2024-05-02,9,3.8,Pending
CMP0150,Sparking wire hanging on pole in Ward 2,Electricity,Ward 2,2024-04-25,6,5.2,Pending
